No,性別,年代区分,住居状況区分,家族状況区分,家族人数区分,家族同居区分,年収区分,勤務形態区分,申込経路,申請理由,引上率,審査結果,申請有無
1,2,20代,5,2,1,2,2,02,3,1,1,4,0
2,1,30代,5,2,1,1,2,02,3,5,1,4,0
3,1,50代,1,1,4,1,9,02,3,0,1.5,1,0
4,2,50代,1,2,1,2,4,02,3,18,1.2625,1,0
5,1,50代,3,1,2,2,4,02,3,10,1.625,1,0
6,2,20代,5,2,1,2,2,02,3,0,1,4,0
7,2,50代,5,2,1,2,2,12,3,4,1.166666667,1,1
8,2,50代,5,2,1,2,1,12,3,16,1.066666667,1,0
9,2,40代,2,1,3,1,0,12,3,13,1,4,1
10,2,30代,7,2,1,1,2,02,3,7,1.53,1,0
11,2,20代,2,2,4,1,0,06,3,0,2.5,2,0
12,1,50代,3,2,1,2,6,03,3,0,1,6,0
13,1,50代,2,2,1,2,1,05,3,2,3,1,0
14,2,10代,2,2,1,1,0,06,3,7,1,4,0
15,1,40代,7,2,1,1,6,02,3,12,2.2,1,0
16,1,30代,5,2,1,2,5,02,3,1,1.454545455,1,0
17,2,30代,5,2,1,2,2,02,3,7,1,4,0
18,2,50代,2,1,4,1,0,07,3,17,4,1,1
19,2,40代,5,1,2,1,6,02,3,6,1.625,1,0
20,2,30代,2,1,2,1,0,04,3,8,1.590909091,1,1
21,1,50代,5,1,2,1,6,02,3,2,2.5,1,0
22,1,40代,5,2,1,1,4,01,3,1,1,4,0
23,2,20代,2,2,3,1,1,02,3,4,1.52173913,1,0
24,2,30代,2,1,2,1,2,02,3,0,1.75,1,0
25,2,50代,2,1,4,1,3,05,2,18,1.66,1,0
26,1,60代,6,1,3,2,6,02,2,8,3.307692308,1,0
27,2,30代,5,2,1,1,6,02,2,0,1,4,0
28,2,30代,5,2,1,1,6,02,2,9,1,4,0
29,2,40代,2,1,4,9,0,04,2,0,2.666666667,1,0
30,2,30代,5,1,2,1,1,02,3,16,1.2,1,1
31,2,50代,7,2,2,2,1,02,2,15,3.857142857,1,0
32,1,30代,5,2,1,2,2,02,3,13,2,1,0
33,1,50代,3,1,4,9,6,02,2,1,1.2625,1,0
34,1,40代,4,1,3,1,4,05,3,0,1,4,1
35,1,20代,2,2,4,1,0,06,3,10,1.5,1,0
36,2,40代,5,2,1,2,2,02,2,4,1.03,1,0
37,2,30代,5,2,4,1,2,02,3,1,1.125,1,0
38,1,40代,5,1,2,1,9,05,3,2,1.7625,1,0
39,2,50代,4,1,4,1,0,07,2,7,1.066666667,1,0
40,2,20代,5,2,2,2,3,02,2,5,1,4,0
41,2,50代,1,2,1,2,4,02,2,1,3.076923077,1,0
42,1,30代,5,2,1,2,3,02,3,2,1.166666667,1,0
44,2,40代,2,1,4,1,2,02,2,8,1,4,0
45,1,40代,5,1,2,1,3,03,3,4,1,4,1
46,2,40代,6,2,1,2,4,05,2,7,1.1375,1,0
47,1,40代,1,1,2,1,9,02,3,1,3.222222222,1,0
48,1,70代,1,1,4,1,0,08,2,2,1.733333333,1,0
49,2,30代,5,2,3,0,1,02,3,1,1.142857143,1,0
50,2,40代,2,1,4,1,2,05,2,0,1.1,1,0
51,2,40代,2,2,4,9,3,02,2,4,1.128571429,1,1
52,2,40代,2,1,4,1,0,04,3,0,1.5,1,0
53,2,10代,5,2,3,1,0,06,2,8,1.95,1,0
54,2,40代,2,1,2,1,2,02,3,2,2.175,1,0
55,1,60代,1,1,3,1,7,02,3,0,1.625,1,0
56,1,60代,1,1,2,1,0,02,3,14,1,6,0
57,2,40代,2,1,2,1,2,02,3,0,1.428571429,1,0
58,2,20代,5,2,4,2,0,06,3,0,1.75,1,0
60,1,40代,2,0,4,1,2,02,3,4,1.272727273,1,0
61,1,20代,6,2,1,2,2,02,3,13,2.333333333,1,0
62,2,50代,2,1,3,1,1,07,3,6,1,6,0
63,1,20代,2,2,4,1,2,02,3,16,1,4,1
64,1,60代,1,1,3,1,8,01,2,2,1.666666667,1,0
65,1,40代,1,1,4,1,5,02,2,10,1.666666667,1,0
66,1,50代,1,1,3,1,4,02,3,0,3.25,1,0
67,2,50代,2,1,3,1,1,07,2,6,1.024390244,1,0
68,2,60代,1,1,2,1,1,08,2,0,1.346153846,1,0
69,1,20代,2,2,4,1,0,06,3,0,1.5,1,0
70,1,40代,7,2,1,1,3,02,2,2,1.075,1,0
72,2,30代,7,2,1,2,5,05,3,0,1.166666667,1,0
73,1,20代,3,2,1,2,2,02,2,5,1.25,1,0
74,2,30代,5,2,1,2,2,02,2,3,2.1,1,0
75,2,30代,5,2,1,1,4,02,2,2,1.428571429,1,0
76,2,20代,3,2,1,0,2,02,2,7,1.166666667,1,0
77,1,70代,1,1,2,0,1,08,2,0,2.05,1,0
78,2,20代,6,2,4,1,0,06,3,16,1,4,0
79,1,70代,1,1,2,1,4,10,2,0,2,1,0
80,2,50代,2,2,4,1,0,02,2,2,2,1,0
81,1,40代,1,1,3,1,4,02,3,8,2,2,1
82,2,20代,2,2,4,1,0,06,3,1,2.75,1,0
83,1,30代,3,1,2,1,4,02,3,12,1.5,2,1
84,1,40代,1,2,2,9,4,03,2,2,2,1,0
85,2,30代,7,2,1,1,2,02,3,1,1,4,1
86,1,40代,2,1,3,1,2,02,2,2,1.55,1,1
87,2,60代,2,1,2,1,5,10,2,2,2.428571429,1,0
88,2,50代,5,2,1,2,1,02,2,0,1.857142857,1,0
89,1,20代,5,2,1,2,2,02,2,8,2,1,1
90,2,60代,2,2,2,9,0,11,2,13,3.342857143,1,0
91,2,30代,5,2,1,2,2,02,2,2,1.375,1,0
92,1,30代,2,2,4,1,1,02,3,16,1.833333333,1,0
93,1,50代,1,1,3,1,3,02,2,8,2.5,2,1
94,2,40代,5,2,1,2,2,02,2,9,1.75,1,0
95,1,40代,3,2,1,2,9,10,2,1,1.363636364,1,0
97,1,30代,2,1,4,1,5,02,3,0,2,1,0
98,2,40代,4,2,2,1,4,02,3,4,1.111111111,1,0
99,1,30代,6,2,1,2,2,02,3,5,1.125,1,0
100,1,30代,2,2,3,1,3,07,3,2,1,4,0
101,1,40代,1,1,3,1,4,02,3,13,1.625,1,0
102,2,40代,6,1,3,1,1,03,3,0,1.4,1,1
103,1,40代,1,1,4,1,3,02,3,1,1,4,0
104,2,30代,2,2,9,9,0,03,3,6,1,6,0
105,2,50代,2,1,3,1,1,02,3,14,1,4,0
106,1,40代,5,1,2,1,5,02,3,3,2.25,1,0
107,1,30代,5,1,2,1,5,02,3,1,2.133333333,1,0
108,2,30代,5,2,3,1,1,03,3,7,1.25,1,1
109,1,60代,1,1,2,1,4,02,3,6,1,4,0
110,2,50代,1,2,1,1,4,02,3,5,1.2,1,0
111,1,40代,5,2,1,2,2,05,3,2,3,1,0
112,2,30代,2,2,2,1,1,02,3,6,3.272727273,1,0
113,2,20代,2,2,4,1,0,02,3,1,3.5,1,1
114,1,50代,1,1,4,1,9,02,2,2,1.277777778,2,0
115,2,40代,7,2,1,0,2,02,2,2,1.25,1,0
116,1,50代,1,2,1,2,2,11,3,2,1,4,1
117,1,40代,1,1,4,1,9,02,3,0,1.5,1,1
118,2,30代,2,2,3,2,1,07,2,2,1,4,1
119,1,40代,6,1,4,1,7,02,2,9,1.4,1,0
120,1,40代,3,1,2,1,7,02,3,1,1.6,2,1
121,1,50代,1,2,1,2,2,11,3,2,1,4,1
122,2,40代,2,1,4,1,2,02,2,10,1.777777778,1,0
123,1,50代,1,2,1,2,2,11,3,2,1,4,1
124,1,40代,6,2,1,2,1,02,3,0,2.5,1,0
125,2,70代,2,2,1,1,0,08,2,15,1.875,1,0
126,2,40代,5,1,3,1,1,02,2,10,1.818181818,2,0
127,1,40代,1,1,4,1,6,01,2,2,1.272727273,1,0
128,2,20代,5,2,1,2,2,02,2,5,1,4,0
129,1,60代,1,1,2,2,2,12,2,2,1,4,0
130,1,70代,1,1,2,1,4,01,2,0,1.736842105,1,0
131,2,20代,5,1,2,1,2,02,3,1,2.6,1,0
